,potential_V,current_A,j_A/mm2,abs_j_A/mm2,progress,renorm_potential_V
2651,1.766902,0.1235817,0.0007469254477571578,0.0007469254477571578,0.6667723525681674,1.766902
2652,1.768095,0.1249009,0.0007548986675031334,0.0007548986675031334,0.6670894102726697,1.768095
2653,1.7692189999999999,0.1262136,0.0007628326013725561,0.0007628326013725561,0.6674064679771718,1.7692189999999999
2654,1.770388,0.12761,0.0007712724164523623,0.0007712724164523623,0.667723525681674,1.770388
2655,1.771516,0.12894180000000002,0.000779321790359041,0.000779321790359041,0.6680405833861763,1.771516
2656,1.772693,0.1303162,0.0007876286378566674,0.0007876286378566674,0.6683576410906785,1.772693
2657,1.7738639999999999,0.1316379,0.0007956169675551636,0.0007956169675551636,0.6686746987951807,1.7738639999999999
2658,1.7749869999999999,0.133016,0.0008039461777825203,0.0008039461777825203,0.6689917564996829,1.7749869999999999
2659,1.776166,0.1343584,0.0008120596178878855,0.0008120596178878855,0.6693088142041852,1.776166
2660,1.7773130000000001,0.1357048,0.0008201972339172833,0.0008201972339172833,0.6696258719086874,1.7773130000000001
2661,1.7784520000000001,0.1371085,0.0008286811700584493,0.0008286811700584493,0.6699429296131896,1.7784520000000001
2662,1.779623,0.1385049,0.0008371209851382555,0.0008371209851382555,0.6702599873176918,1.779623
2663,1.780787,0.13991900000000002,0.0008456677786819065,0.0008456677786819065,0.6705770450221941,1.780787
2664,1.781955,0.141284,0.0008539178127580562,0.0008539178127580562,0.6708941027266963,1.781955
2665,1.78308,0.14269079999999998,0.0008624204852403473,0.0008624204852403473,0.6712111604311984,1.78308
2666,1.784266,0.1440797,0.0008708149704625925,0.0008708149704625925,0.6715282181357007,1.784266
2667,1.7853720000000002,0.1454675,0.0008792028073057285,0.0008792028073057285,0.6718452758402029,1.7853720000000002
2668,1.786543,0.1468708,0.0008876843258544911,0.0008876843258544911,0.6721623335447051,1.786543
2669,1.787707,0.1482825,0.0008962166138437224,0.0008962166138437224,0.6724793912492073,1.787707
2670,1.7888669999999998,0.14974949999999998,0.0009050831339827052,0.0009050831339827052,0.6727964489537096,1.7888669999999998
2671,1.79,0.15118710000000002,0.0009137719610800482,0.0009137719610800482,0.6731135066582118,1.79
2672,1.79122,0.1526254,0.0009224650189640966,0.0009224650189640966,0.673430564362714,1.79122
2673,1.7923229999999999,0.1540403,0.000931016647692554,0.000931016647692554,0.6737476220672163,1.7923229999999999
2674,1.7935029999999998,0.1554809,0.0009397236067329214,0.0009397236067329214,0.6740646797717185,1.7935029999999998
2675,1.794713,0.1569009,0.0009483060597645205,0.0009483060597645205,0.6743817374762207,1.794713
2676,1.795826,0.15836470000000002,0.0009571532391642773,0.0009571532391642773,0.6746987951807228,1.795826
2677,1.796972,0.159825,0.0009659792646305054,0.0009659792646305054,0.6750158528852251,1.796972
2678,1.7981599999999998,0.1612812,0.0009747805097746003,0.0009747805097746003,0.6753329105897273,1.7981599999999998
2679,1.7984650000000002,0.1615858,0.0009766215063896882,0.0009766215063896882,0.6756499682942295,0.0
2680,1.797322,0.1600036,0.0009670587196385643,0.0009670587196385643,0.6759670259987318,0.0011430000000001161
2681,1.796185,0.15852420000000003,0.0009581172541350803,0.0009581172541350803,0.676284083703234,0.002280000000000282
2682,1.795064,0.156973,0.0009487418307952093,0.0009487418307952093,0.6766011414077362,0.0034010000000002094
2683,1.793877,0.1555596,0.0009401992680382642,0.0009401992680382642,0.6769181991122384,0.0045880000000002585
2684,1.7926990000000003,0.1540788,0.0009312493409613685,0.0009312493409613685,0.6772352568167407,0.005765999999999938
2685,1.7915860000000001,0.1525795,0.0009221876002358218,0.0009221876002358218,0.6775523145212429,0.0068790000000000795
2686,1.790443,0.1510846,0.000913152453026711,0.000913152453026711,0.6778693722257451,0.008022000000000196
2687,1.789277,0.1495952,0.000904150547713145,0.000904150547713145,0.6781864299302474,0.009188000000000196
2688,1.788123,0.1481276,0.000895280401185557,0.000895280401185557,0.6785034876347495,0.010342000000000295
2689,1.786961,0.14667979999999997,0.0008865299254819308,0.0008865299254819308,0.6788205453392517,0.01150400000000018
2690,1.785865,0.14526029999999998,0.0008779504944408359,0.0008779504944408359,0.6791376030437539,0.012600000000000167
2691,1.7846810000000002,0.14374720000000002,0.0008688053467773766,0.0008688053467773766,0.6794546607482562,0.013784000000000018
