,potential_V,current_A,j_A/mm2,abs_j_A/mm2,progress
434,-0.46890360000000003,0.0003511875,2.2996785234638834e-06,2.2996785234638834e-06,0.5197604790419161
435,-0.4689932,0.0003498958,2.291220093853609e-06,2.291220093853609e-06,0.5209580838323353
436,-0.46909300000000004,0.0003482296,2.280309328647571e-06,2.280309328647571e-06,0.5221556886227545
437,-0.46919079999999996,0.0003442875,2.254495304209494e-06,2.254495304209494e-06,0.5233532934131736
438,-0.4692996,0.00033958830000000004,2.2237235674094617e-06,2.2237235674094617e-06,0.5245508982035928
439,-0.46938729999999995,0.00033724089999999997,2.208352105253265e-06,2.208352105253265e-06,0.525748502994012
440,-0.46945180000000003,0.00033600839999999997,2.200281334567608e-06,2.200281334567608e-06,0.5269461077844312
441,-0.46951859999999995,0.0003353374,2.195887430202435e-06,2.195887430202435e-06,0.5281437125748503
442,-0.4696438,0.0003353418,2.1959162426900755e-06,2.1959162426900755e-06,0.5293413173652695
443,-0.46973059999999994,0.00033435269999999997,2.1894393264343482e-06,2.1894393264343482e-06,0.5305389221556887
444,-0.46980479999999997,0.0003326906,2.1785554092281573e-06,2.1785554092281573e-06,0.5317365269461077
445,-0.4699034000000001,0.0003315112,2.1708323528819795e-06,2.1708323528819795e-06,0.5329341317365269
446,-0.46996179999999993,0.0003293488,2.1566723248652124e-06,2.1566723248652124e-06,0.5341317365269461
447,-0.470077,0.0003270101,2.141357832855033e-06,2.141357832855033e-06,0.5353293413173653
448,-0.47018190000000004,0.0003250877,2.1287693950732013e-06,2.1287693950732013e-06,0.5365269461077844
449,-0.4702769,0.00032283619999999997,2.1140259141817146e-06,2.1140259141817146e-06,0.5377245508982036
450,-0.4703655,0.0003208023,2.100707341769903e-06,2.100707341769903e-06,0.5389221556886228
451,-0.4704573,0.00031922419999999996,2.090373481145939e-06,2.090373481145939e-06,0.5401197604790419
452,-0.4705241,0.0003177907,2.0809865036385234e-06,2.0809865036385234e-06,0.5413173652694611
453,-0.4706014,0.0003169722,2.0756267261081295e-06,2.0756267261081295e-06,0.5425149700598803
454,-0.4707339,0.0003151419,2.0636413860789545e-06,2.0636413860789545e-06,0.5437125748502994
455,-0.47079899999999997,0.0003113986,2.039129162218816e-06,2.039129162218816e-06,0.5449101796407185
456,-0.4708923,0.0003088157,2.0222155771445897e-06,2.0222155771445897e-06,0.5461077844311377
457,-0.47097959999999994,0.0003073889,2.0128724731978993e-06,2.0128724731978993e-06,0.5473053892215569
458,-0.4710876,0.0003057661,2.0022459038926785e-06,2.0022459038926785e-06,0.548502994011976
459,-0.4711813,0.0003036593,1.9884499609470056e-06,1.9884499609470056e-06,0.5497005988023952
460,-0.4712345,0.0003014314,1.973861019761954e-06,1.973861019761954e-06,0.5508982035928144
461,-0.47137029999999996,0.0002997882,1.963100865286764e-06,1.963100865286764e-06,0.5520958083832336
462,-0.4714353,0.0002977541,1.949780983216423e-06,1.949780983216423e-06,0.5532934131736527
463,-0.4715486,0.0002962484,1.9399212189799976e-06,1.9399212189799976e-06,0.5544910179640719
464,-0.47160779999999997,0.00029426049999999997,1.9269038680298814e-06,1.9269038680298814e-06,0.555688622754491
465,-0.47173580000000004,0.0002927473,1.916994991598615e-06,1.916994991598615e-06,0.5568862275449101
466,-0.4717885,0.0002913977,1.908157415844162e-06,1.908157415844162e-06,0.5580838323353293
467,-0.4718954000000001,0.0002899916,1.898949861555235e-06,1.898949861555235e-06,0.5592814371257485
468,-0.4720156,0.00028772,1.8840747599815726e-06,1.8840747599815726e-06,0.5604790419161677
469,-0.4720928,0.0002860548,1.8731705430681801e-06,1.8731705430681801e-06,0.5616766467065868
470,-0.47220779999999996,0.0002846881,1.864220991509488e-06,1.864220991509488e-06,0.562874251497006
471,-0.47228729999999997,0.0002825334,1.8501113853460921e-06,1.8501113853460921e-06,0.5640718562874252
472,-0.47235459999999996,0.000279954,1.8332207192961254e-06,1.8332207192961254e-06,0.5652694610778443
473,-0.4724657,0.0002769462,1.813524764676799e-06,1.813524764676799e-06,0.5664670658682635
