,potential_V,current_A,j_A/mm2,abs_j_mA/mm2,progress,renorm_potential_V
1779,0.43536179999999997,0.1365475,0.0009687693730537687,0.0009687693730537687,0.6495940037476576,0.08994600000000003
1780,0.43435730000000006,0.1362855,0.0009669105504774485,0.0009669105504774485,0.6502186133666458,0.09095049999999993
1781,0.43334480000000003,0.1358259,0.0009636498067519646,0.0009636498067519646,0.6508432229856339,0.09196299999999996
1782,0.43231379999999997,0.1352959,0.0009598895931433778,0.0009598895931433778,0.651467832604622,0.09299400000000002
1783,0.43131959999999997,0.1348692,0.0009568622664513326,0.0009568622664513326,0.6520924422236102,0.09398820000000002
1784,0.4303037,0.13423329999999997,0.0009523507195952942,0.0009523507195952942,0.6527170518425983,0.09500409999999998
1785,0.4293098,0.1339404,0.0009502726694708508,0.0009502726694708508,0.6533416614615865,0.09599799999999997
1786,0.4282844,0.1341316,0.0009516291842670051,0.0009516291842670051,0.6539662710805746,0.09702339999999998
1787,0.42727970000000004,0.13399660000000002,0.0009506713940082143,0.0009506713940082143,0.6545908806995627,0.09802809999999995
1788,0.4263106,0.1337549,0.0009489565947078456,0.0009489565947078456,0.6552154903185509,0.09899720000000001
1789,0.42531579999999997,0.1335492,0.0009474972061431545,0.0009474972061431545,0.655840099937539,0.09999200000000003
1790,0.4242809,0.13343170000000001,0.0009466635738808735,0.0009466635738808735,0.6564647095565271,0.10102689999999998
1791,0.4233291,0.1333636,0.0009461804219058833,0.0009461804219058833,0.6570893191755153,0.10197869999999998
1792,0.42231320000000006,0.1332894,0.0009456539920006811,0.0009456539920006811,0.6577139287945034,0.10299459999999994
1793,0.4212991,0.1331612,0.0009447444459919626,0.0009447444459919626,0.6583385384134915,0.10400870000000001
1794,0.4202972,0.1331531,0.0009446869785764351,0.0009446869785764351,0.6589631480324797,0.10501060000000001
1795,0.4192808,0.13326559999999998,0.0009454851371254275,0.0009454851371254275,0.6595877576514678,0.10602699999999998
1796,0.4182865,0.133106,0.000944352816197257,0.000944352816197257,0.660212367270456,0.10702129999999999
1797,0.41726199999999997,0.1327989,0.000942174020727074,0.000942174020727074,0.6608369768894441,0.10804580000000003
1798,0.4162915,0.13246170000000002,0.000939781673502894,0.000939781673502894,0.6614615865084322,0.10901630000000001
1799,0.4152938,0.1322676,0.0009384045839530323,0.0009384045839530323,0.6620861961274204,0.110014
1800,0.414287,0.13212420000000002,0.0009373871978559167,0.0009373871978559167,0.6627108057464085,0.11102079999999998
1801,0.4132446,0.13204960000000002,0.0009368579300536514,0.0009368579300536514,0.6633354153653966,0.11206319999999997
1802,0.4122322,0.1320068,0.0009365542750679013,0.0009365542750679013,0.6639600249843847,0.1130756
1803,0.4112432,0.1319509,0.0009361576789533352,0.0009361576789533352,0.6645846346033728,0.11406460000000002
1804,0.41026229999999997,0.13208440000000002,0.0009371048270981398,0.0009371048270981398,0.6652092442223609,0.11504550000000002
1805,0.40925209999999995,0.1318579,0.0009354978678861681,0.0009354978678861681,0.6658338538413491,0.11605570000000004
1806,0.40825900000000004,0.1317484,0.0009347209935651487,0.0009347209935651487,0.6664584634603372,0.11704879999999995
1807,0.4072455,0.1312164,0.0009309465904712466,0.0009309465904712466,0.6670830730793254,0.11806230000000001
1808,0.4062329,0.13081210000000001,0.0009280781860147343,0.0009280781860147343,0.6677076826983135,0.11907489999999998
1809,0.40522359999999996,0.13047419999999998,0.0009256808724706935,0.0009256808724706935,0.6683322923173016,0.12008420000000003
1810,0.4042529,0.13010139999999998,0.0009230359524078989,0.0009230359524078989,0.6689569019362898,0.12105489999999997
1811,0.4032387,0.1299942,0.0009222753959949925,0.0009222753959949925,0.6695815115552779,0.12206909999999999
1812,0.4021926,0.12970410000000002,0.0009202172111499906,0.0009202172111499906,0.670206121174266,0.12311519999999998
1813,0.4012095,0.12928800000000001,0.0009172650887301171,0.0009172650887301171,0.6708307307932542,0.1240983
1814,0.400233,0.1287761,0.0009136332899636349,0.0009136332899636349,0.6714553404122423,0.12507479999999999
